ticket_code,sku,qty,unit_price,discount_percent,tax_code,uom
T-2026-0105-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0105-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0105-002,PEPSI-330,1,500,0,VAT10,Unit
T-2026-0105-003,PEPSI-330,20,500,0,VAT10,Unit
T-2026-0105-003,CHIPS-LEMON,16,500,0,VAT10,Unit
T-2026-0105-003,BREAD-LOAF,3,1000,0,VAT10,Unit
T-2026-0105-004,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0105-005,RED-BULL-250,1,2000,0,VAT10,Unit
T-2026-0105-005,CHOCO-SNICKERS,1,1000,0,VAT10,Unit
T-2026-0105-005,CHIPS-CHILI,3,500,0,VAT10,Unit
T-2026-0105-006,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0105-006,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0105-006,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0105-007,PEPSI-330,16,500,0,VAT10,Unit
T-2026-0105-007,CHIPS-CHILI,8,500,0,VAT10,Unit
T-2026-0105-007,BREAD-LOAF,2,1000,0,VAT10,Unit
T-2026-0105-008,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0105-008,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0105-009,CAKE-SLICE,3,600,0,VAT10,Unit
T-2026-0105-009,INDO-VEG,1,350,0,VAT10,Unit
T-2026-0105-009,BAG-PLASTIC,1,100,0,,Unit
T-2026-0105-010,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0105-010,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0105-010,BAG-PLASTIC,1,100,0,,Unit
T-2026-0106-001,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0106-002,BREAD-LOAF,2,1000,0,VAT10,Unit
T-2026-0106-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0106-003,BISCUIT-PARLE,2,400,0,VAT10,Unit
T-2026-0106-004,PEPSI-330,21,500,0,VAT10,Unit
T-2026-0106-004,BREAD-LOAF,8,1000,0,VAT10,Unit
T-2026-0106-005,RED-BULL-250,1,2000,0,VAT10,Unit
T-2026-0106-005,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0106-005,CHOCO-SNICKERS,1,1000,0,VAT10,Unit
T-2026-0106-005,CHIPS-LEMON,3,500,0,VAT10,Unit
T-2026-0106-005,PEPSI-330,1,500,0,VAT10,Unit
T-2026-0106-005,BAG-PLASTIC,2,100,0,,Unit
T-2026-0106-006,KDD-CREAM-250,1,1400,0,VAT10,Unit
T-2026-0106-007,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0106-007,BREAD-LOAF,2,1000,0,VAT10,Unit
T-2026-0106-007,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0106-008,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0106-008,BAG-PLASTIC,2,100,0,,Unit
T-2026-0106-009,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0106-009,CLOROX-1L,1,1600,0,VAT10,Unit
T-2026-0106-009,SPONGE-SCOUR,1,1000,0,VAT10,Unit
T-2026-0106-009,BAG-PLASTIC,1,100,0,,Unit
T-2026-0106-010,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0106-010,INDO-VEG,1,350,0,VAT10,Unit
T-2026-0107-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0107-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0107-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0107-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0107-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0107-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0107-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0107-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0107-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0108-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0108-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0108-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0108-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0108-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0108-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0108-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0108-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0108-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0109-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0109-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0109-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0109-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0109-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0109-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0109-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0109-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0110-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0110-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0110-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0110-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0110-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0110-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0110-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0110-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0110-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0111-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0111-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0111-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0111-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0111-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0111-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0111-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0111-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0111-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0112-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0112-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0112-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0112-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0112-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0112-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0112-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0112-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0113-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0113-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0113-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0113-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0113-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0113-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0113-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0113-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0113-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0114-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0114-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0114-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0114-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0114-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0114-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0114-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0114-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0114-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0115-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0115-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0115-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0115-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0115-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0115-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0115-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0115-004,CHIPS-OMAN,1,300,0,VAT10,Unit
