session_code,open_date,close_date,opening_cash,currency
POS-2026-01-05,2026-01-05,2026-01-05,100000,IQD
POS-2026-01-06,2026-01-06,2026-01-06,100000,IQD
POS-2026-01-07,2026-01-07,2026-01-07,100000,IQD
POS-2026-01-08,2026-01-08,2026-01-08,100000,IQD
POS-2026-01-09,2026-01-09,2026-01-09,100000,IQD
POS-2026-01-10,2026-01-10,2026-01-10,100000,IQD
POS-2026-01-11,2026-01-11,2026-01-11,100000,IQD
POS-2026-01-12,2026-01-12,2026-01-12,100000,IQD
POS-2026-01-13,2026-01-13,2026-01-13,100000,IQD
POS-2026-01-14,2026-01-14,2026-01-14,100000,IQD
POS-2026-01-15,2026-01-15,2026-01-15,100000,IQD
POS-2026-01-16,2026-01-16,2026-01-16,100000,IQD
POS-2026-01-17,2026-01-17,2026-01-17,100000,IQD
POS-2026-01-18,2026-01-18,2026-01-18,100000,IQD
POS-2026-01-19,2026-01-19,2026-01-19,100000,IQD
POS-2026-01-20,2026-01-20,2026-01-20,100000,IQD
POS-2026-01-21,2026-01-21,2026-01-21,100000,IQD
POS-2026-01-22,2026-01-22,2026-01-22,100000,IQD
POS-2026-01-23,2026-01-23,2026-01-23,100000,IQD
POS-2026-01-24,2026-01-24,2026-01-24,100000,IQD
POS-2026-01-25,2026-01-25,2026-01-25,100000,IQD
POS-2026-01-26,2026-01-26,2026-01-26,100000,IQD
POS-2026-01-27,2026-01-27,2026-01-27,100000,IQD
POS-2026-01-28,2026-01-28,2026-01-28,100000,IQD
POS-2026-01-29,2026-01-29,2026-01-29,100000,IQD
POS-2026-01-30,2026-01-30,2026-01-30,100000,IQD
POS-2026-01-31,2026-01-31,2026-01-31,100000,IQD
