ticket_code,session_code,customer_code,ticket_time,payment_method,payment_amount,notes
T-2026-0105-001,POS-2026-01-05,C-CASH,2026-01-05 08:12,CASH,1850,
T-2026-0105-002,POS-2026-01-05,C-CASH,2026-01-05 08:19,CASH,500,
T-2026-0105-003,POS-2026-01-05,C-SHOP,2026-01-05 09:40,CASH,21000,Neighbor shop
T-2026-0105-004,POS-2026-01-05,C-CASH,2026-01-05 10:25,CASH,1750,
T-2026-0105-005,POS-2026-01-05,C-CASH,2026-01-05 11:05,CARD,4500,
T-2026-0105-006,POS-2026-01-05,C-CASH,2026-01-05 12:30,CASH,3250,
T-2026-0105-007,POS-2026-01-05,C-MART,2026-01-05 14:15,CASH,14000,
T-2026-0105-008,POS-2026-01-05,C-CASH,2026-01-05 16:40,CASH,1500,
T-2026-0105-009,POS-2026-01-05,C-CASH,2026-01-05 18:20,CASH,2250,
T-2026-0105-010,POS-2026-01-05,C-CASH,2026-01-05 20:10,CASH,1100,
T-2026-0106-001,POS-2026-01-06,C-CASH,2026-01-06 08:05,CASH,1600,
T-2026-0106-002,POS-2026-01-06,C-CASH,2026-01-06 08:45,CASH,2500,
T-2026-0106-003,POS-2026-01-06,C-CASH,2026-01-06 09:30,CASH,800,
T-2026-0106-004,POS-2026-01-06,C-SHOP,2026-01-06 10:15,CASH,18500,
T-2026-0106-005,POS-2026-01-06,C-CASH,2026-01-06 11:20,CARD,6200,
T-2026-0106-006,POS-2026-01-06,C-CASH,2026-01-06 13:00,CASH,1400,
T-2026-0106-007,POS-2026-01-06,C-CASH,2026-01-06 15:10,CASH,3100,
T-2026-0106-008,POS-2026-01-06,C-CASH,2026-01-06 17:25,CASH,950,
T-2026-0106-009,POS-2026-01-06,C-CASH,2026-01-06 19:40,CASH,4300,
T-2026-0106-010,POS-2026-01-06,C-CASH,2026-01-06 21:05,CASH,2100,
