sku,name,barcode,category_code,uom,type,cost,list_price,purchase_ok,sale_ok,preferred_vendor_code,description
ALM-MILK-1L,Almarai Full Cream Milk 1L,6281007001234,DAIRY,Unit,STOCKABLE,1450,1750,true,true,V-DAIRY,UHT full cream 1 litre
KDD-YOG-170,KDD Natural Yoghurt 170g,6271001001234,DAIRY,Unit,STOCKABLE,350,500,true,true,V-DAIRY,Natural yogurt cup
ALM-CHEESE-500,Almarai Triangle Cheese 8 portions,6281007002345,DAIRY,Unit,STOCKABLE,1200,1500,true,true,V-DAIRY,Processed cheese portions
KDD-CREAM-250,KDD Cooking Cream 250ml,6271001003456,DAIRY,Unit,STOCKABLE,1100,1400,true,true,V-DAIRY,Rich cooking cream
BALADNA-LABN-1L,Baladna Ayran Laban 1L,6281102001111,DAIRY,Unit,STOCKABLE,1000,1250,true,true,V-DAIRY,Refreshing laban drink
KDD-CHOCO-180,KDD Chocolate Milk 180ml,6271001005678,DAIRY,Unit,STOCKABLE,300,450,true,true,V-DAIRY,Kids chocolate milk
ALM-BUTTER-200,Almarai Unsalted Butter 200g,6281007004444,DAIRY,Unit,STOCKABLE,1700,2100,true,true,V-DAIRY,Pure butter block
KDD-FETA-500,KDD White Feta Cheese 500g,6271001007890,DAIRY,Unit,STOCKABLE,2800,3500,true,true,V-DAIRY,White cheese block
PEPSI-330,Pepsi 330ml Can,6112692001234,BEVERAGE,Unit,STOCKABLE,400,500,true,true,V-BEV,Classic cola can
COKE-1.5,Coca-Cola 1.5L,5449000001234,BEVERAGE,Unit,STOCKABLE,900,1250,true,true,V-BEV,Family size cola
WATER-330,Janina Drinking Water 330ml,6260001001111,BEVERAGE,Unit,STOCKABLE,150,250,true,true,V-BEV,Small mineral water bottle
WATER-500,Safia Drinking Water 500ml,6260001002222,BEVERAGE,Unit,STOCKABLE,200,350,true,true,V-BEV,Medium water bottle
PEPSI-DIET-330,Diet Pepsi 330ml Can,6112692002345,BEVERAGE,Unit,STOCKABLE,400,500,true,true,V-BEV,Sugar free cola
MIRINDA-330,Mirinda Orange 330ml Can,6112692003456,BEVERAGE,Unit,STOCKABLE,400,500,true,true,V-BEV,Orange soft drink
SEVEN-UP-330,7Up 330ml Can,6112692004567,BEVERAGE,Unit,STOCKABLE,400,500,true,true,V-BEV,Lemon lime soft drink
RED-BULL-250,Red Bull Energy Drink 250ml,9041600123456,BEVERAGE,Unit,STOCKABLE,1500,2000,true,true,V-BEV,Energy drink can
RC-COLA-1L,RC Cola 1L Bottle,6112692005678,BEVERAGE,Unit,STOCKABLE,600,800,true,true,V-BEV,1 litre cola bottle
BARBICAN-MALT,Barbican Malt Beverage Strawberry 330ml,6281001001234,BEVERAGE,Unit,STOCKABLE,500,750,true,true,V-BEV,Non alcoholic malt drink
SAMOON-BAG,Fresh Samoon 10 pieces,,BAKERY,Unit,STOCKABLE,1000,1500,true,true,V-BAKE,Traditional Iraqi samoon bag
BREAD-LOAF,Arabic Flat Bread 5 loaves,,BAKERY,Unit,STOCKABLE,750,1000,true,true,V-BAKE,Fresh khubz bundle
CROISSANT-CHOC,Chocolate Croissant Individual,,BAKERY,Unit,STOCKABLE,500,750,true,true,V-BAKE,Filled pastry snack
CAKE-SLICE,Marble Cake Slice,,BAKERY,Unit,STOCKABLE,400,600,true,true,V-BAKE,Sponge cake slice
SAMOON-BURGER,Burger Buns 4 pack,,BAKERY,Unit,STOCKABLE,1200,1600,true,true,V-BAKE,Soft burger buns
TOMATO-KG,Local Tomato loose,,PRODUCE,kg,STOCKABLE,1500,2000,true,true,V-PROD,Sold by kilogram
CUCUMBER-KG,Local Cucumber loose,,PRODUCE,kg,STOCKABLE,1200,1750,true,true,V-PROD,Fresh green cucumbers
POTATO-KG,Local Potatoes 1kg bag,,PRODUCE,kg,STOCKABLE,1000,1500,true,true,V-PROD,Staple cooking potatoes
ONION-KG,Yellow Onions loose,,PRODUCE,kg,STOCKABLE,900,1300,true,true,V-PROD,Cooking onions
APPLE-GOLD-KG,Golden Delicious Apples 1kg,,PRODUCE,kg,STOCKABLE,2000,2750,true,true,V-PROD,Sweet crisp apples
BANANA-KG,Fresh Bananas 1kg,,PRODUCE,kg,STOCKABLE,1750,2500,true,true,V-PROD,Yellow ripe bananas
LEMON-KG,Fresh Yellow Lemons 1kg,,PRODUCE,kg,STOCKABLE,2200,3000,true,true,V-PROD,Juicy lemons
INDO-40,Indomie Chicken Noodles 40g,8992388123456,DRY,Unit,STOCKABLE,200,350,true,true,V-DRY,Instant noodles chicken flavor
INDO-VEG,Indomie Vegetable Noodles 40g,8992388123789,DRY,Unit,STOCKABLE,200,350,true,true,V-DRY,Instant noodles vegetable flavor
RICE-5KG,Mahmoud Indian Rice 5kg,6285000123456,DRY,Unit,STOCKABLE,8500,10500,true,true,V-DRY,Premium basmati rice bag
SUGAR-1KG,Zer White Sugar 1kg,6281100002222,DRY,Unit,STOCKABLE,1400,1750,true,true,V-DRY,Fine granulated white sugar
OIL-1.8,Afia Sunflower Oil 1.8L,6281000555555,DRY,Unit,STOCKABLE,4200,5250,true,true,V-DRY,Pure sunflower cooking oil
LENTILS-900,Red Lentils 900g pack,6281100003333,DRY,Unit,STOCKABLE,2200,2800,true,true,V-DRY,Cleaned split red lentils
TOMATO-PASTE,Al-Ain Tomato Paste 400g,6291001001111,DRY,Unit,STOCKABLE,1000,1350,true,true,V-DRY,Concentrated tomato paste tin
TEA-450G,Al-Wazeen Black Tea 450g,6281200111222,DRY,Unit,STOCKABLE,4500,5500,true,true,V-DRY,Loose black tea leaves
COFFEE-200G,Nescafe Classic Coffee 200g,7613032123456,DRY,Unit,STOCKABLE,7500,9000,true,true,V-DRY,Instant coffee jar
FLOUR-2KG,White Wheat Flour 2kg bag,,DRY,Unit,STOCKABLE,2000,2500,true,true,V-DRY,All purpose baking flour
CHIPS-LEMON,Lays Potato Chips Lemon 45g,6281002001234,SNACKS,Unit,STOCKABLE,400,500,true,true,V-SNACK,Crispy potato chips lemon
